"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"EWS.C1",0.1458,0.5692,0.2958,0.0379,1.1766,0.0806,1.5492,0.4992,0.6826,1.5299,2.3945,0.1952,0.0935,0.0752,0.0501,1.476,0.913,0.4127,0.6585,0.1028,0.077,1.0617,0.5511,5.0831,0.1139,1.5867,0.2605,0.2408,0.6988,0.3895,0.3988,0.2367,0.316,0.3813,2.4624,1.1659,3.8328,3.9397,0.8623,0.2519,0.0138,3.4542,0.0543,0.3464,0.9925,0.5698,0.871,3.0455,0.3247,0.0439,0.1714,1.6251,0.164,0.7967,0.3485,3.2148,0.1455,0.6172,0.7223,0.0887,0.1945,1.9981,0.1222,0.2347,2.9398,0.3942,1.6268,0.1731,2.3001,3.5483,0.6445,1.5553,1.504,0.067,0.3971,0.4286,1.9431,0.2104,0.212,0.2349,0.1467,0.3055,0.4216,1.0769,2.4,1.667,0.4507,0.3374,0.0448,0.6516,0.6237,0.1317,0.0523,0.3138,0.2256,1.124,0.0778,0.0772,2.478,0.6034,0.3234,1.7414,3.2081,0.0395,0.4111,0.1218,0.0571,1.3835,0.404,0.2068,0.0799,1.0915,0.3525,0.2924,1.4665,0.2199,0.5544,0.3463,0.1088,0.1542,4.9766,0.7691,2.1818,0.8468,0.3037,0.3137,0.0223,2.0774,0.2411,3.2644
"EWS.C11",0.8047,0.8377,0.388,0.3114,0.2708,1.4778,2.8146,1.2794,0.6411,2.3371,3.7382,1.1112,0.4048,0.5166,0.3116,0.622,1.0635,0.1811,0.5313,0.7577,0.1752,1.8554,0.1113,4.2936,0.3102,1.9152,0.2469,0.0969,0.8158,0.2595,1.8731,1.1492,0.8617,0.1657,4.768,1.2418,3.033,0.782,0.5309,0.4127,0.2831,1.3418,0.2136,0.9487,0.2176,0.1357,1.3531,4.3684,0.6587,0.2344,0.2518,2.5702,0.163,0.2006,0.1075,4.2899,0.6119,0.8568,0.3271,0.3884,0.1875,4.0599,1.2063,0.2441,0.5801,0.3748,1.1949,0.5933,1.7158,3.0371,0.2463,0.7304,0.4697,1.0218,0.4791,0.7591,1.7515,0.2236,0.3651,0.3699,0.1715,0.3015,0.4936,0.3251,3.5363,1.1037,0.0483,0.1289,0.1623,2.0777,0.4111,0.53,0.2055,0.3218,0.3467,1.1469,0.9397,0.278,2.1845,1.2968,0.7081,1.6979,1.2975,0.1952,0.1804,0.1933,0.2135,0.6375,0.7965,0.6,0.6439,0.082,0.6905,0.4639,0.6828,0.1514,0.1564,0.6853,0.0569,0.1806,2.1986,0.9364,5.5589,0.8422,0.7874,0.8224,0.1027,1.6721,0.1331,3.6355
"EWS.C10",0.5377,0.7326,0.2812,0.2042,0.1818,1.1877,5.6244,0.5924,0.6447,1.896,3.3988,0.7675,0.1647,0.4209,0.5471,0.2285,0.7822,0.2725,0.7286,0.2184,0.1743,1.5262,0.0928,3.0927,0.4311,1.5102,0.3037,0.123,0.9835,0.2387,2.5276,0.5199,0.6898,0.1944,2.5597,0.6394,5.943,0.1731,0.3299,0.8961,0.2239,0.878,0.0768,1.6544,0.2992,0.1583,0.7361,5.1935,1.0405,0.2791,0.3817,2.676,0.232,0.0927,0.5415,4.8069,0.8412,0.3602,0.2156,0.3517,0.197,3.9273,1.9624,0.1989,0.8705,0.68,0.707,0.5688,1.8016,2.9429,0.2033,0.445,0.1875,0.6444,0.457,0.4163,1.831,0.1586,0.0868,0.4035,0.0871,0.2675,0.4116,0.6884,4.2025,1.0982,0.0975,0.0847,0.3289,1.1285,0.284,1.8201,0.1792,0.1865,0.3224,0.6899,0.7933,0.3083,2.8726,0.9693,0.564,0.8533,1.7566,0.1307,0.2219,0.1602,0.3892,0.5589,0.8463,0.5757,0.1089,0.0957,0.5695,0.3539,1.5622,0.044,0.5403,0.7931,0.1033,0.1043,2.7242,0.7931,3.1082,0.2499,0.3395,1.5688,0.3025,0.9227,0.189,3.3071
"BL.C5",0.4234,0.4569,0.1913,0.5103,0.3156,2.729,1.5774,0.9585,0.2579,3.2766,2.4471,1.0313,0.4929,0.3282,0.1137,0.7739,0.8295,0.2407,0.5254,0.4521,0.0979,0.5003,0.8597,4.1207,0.9592,1.0991,0.9802,0.7832,0.3672,0.2033,2.9146,1.9049,0.8133,0.7229,1.5159,0.5359,1.9013,0.7392,0.589,0.5496,0.3575,2.7841,0.1909,1.4667,1.902,0.9284,1.5797,2.2407,0.481,0.5444,0.388,0.3632,0.7187,0.3523,0.8024,3.6272,1.1638,0.3921,0.2705,0.4018,0.2079,3.9474,1.187,0.2404,2.324,0.2507,3.0892,0.9593,1.2772,1.0975,0.2993,0.6142,0.3814,1.5292,1.7763,0.6424,0.6022,0.8511,0.4109,0.7578,0.3054,0.3878,0.4913,1.8473,3.6419,1.9472,0.3218,0.3385,0.6089,0.6429,1.124,0.3672,0.7986,1.2728,0.2547,0.3659,1.0726,0.1565,1.5499,0.8124,0.8792,0.1915,0.368,0.2945,3.3559,2.0555,0.7768,2.569,2.625,0.7253,1.5769,0.1085,1.1521,0.2861,1.1441,0.1135,0.145,0.5713,1.1608,1.1211,0.5295,1.4794,0.3863,3.3775,1.0651,2.3992,3.7478,0.1458,0.7904,0.1647
"BL.C6",0.4729,0.6914,0.2506,0.5411,0.74,2.9102,2.2558,0.6776,0.7249,4.5056,1.8417,0.6513,0.3732,0.2919,0.3283,0.8261,1.0458,0.7336,0.3273,0.5343,0.2013,1.0968,0.4651,5.1979,0.3952,1.1125,0.7739,0.4539,0.3762,0.483,2.5083,2.2418,0.7565,0.5027,2.6799,1.1634,2.2774,0.5531,0.9122,0.5588,0.4048,1.4139,0.2847,1.3748,1.1616,0.7663,2.1934,4.3723,0.5275,0.4855,0.3238,1.271,0.5031,0.2002,0.6427,3.64,0.6193,0.4305,0.4155,0.8383,0.1748,4.5756,1.1893,0.2897,0.7693,0.5507,1.6715,0.7904,2.1278,1.7606,0.2038,0.7846,2.6091,0.7574,1.2776,0.302,1.0308,1.1715,0.5121,0.6196,0.2608,0.3859,0.6581,1.0604,3.2467,1.7926,0.2923,0.2886,0.5861,0.9285,0.6111,0.3965,0.4943,0.4638,0.2622,0.3233,1.3672,0.1427,2.469,0.8452,0.9426,0.1906,0.2736,0.4377,1.9653,1.5561,0.4494,1.1843,3.2456,0.5867,1.2605,0.4465,1.4527,0.1628,0.7807,0.1616,0.1636,0.4952,1.6185,1.0641,0.3313,2.1233,1.0908,0.628,1.1727,1.4718,2.2453,0.7374,0.9508,0.338
"BL.C7",0.4489,0.579,0.4515,0.3667,0.6239,2.643,2.7182,0.3082,0.5089,4.6912,2.2687,0.915,0.3351,0.5056,0.5011,0.5737,0.6882,1.1079,0.4887,0.533,0.3041,0.39,0.3154,4.6583,0.6662,0.9805,0.5408,0.1983,0.5459,0.4409,2.597,1.0539,0.8453,0.5224,1.6621,0.789,3.3137,0.7231,0.6213,0.5919,0.7297,1.0146,0.0976,1.403,1.3439,0.7316,0.9158,5.4326,0.4334,0.5444,0.4977,1.5024,0.6461,0.3531,0.6079,4.8066,1.4997,0.6267,0.468,0.4475,0.2313,5.619,1.2396,0.2598,0.7418,0.3239,2.1815,0.6051,2.0968,1.8273,0.3774,0.4045,0.4639,1.4191,0.4246,0.438,1.0906,0.3903,0.6084,0.4756,0.1726,0.4409,0.276,1.1274,4.2561,1.9377,0.1513,0.3999,0.5525,0.5042,1.1483,1.1221,0.6213,0.5095,0.4806,0.6165,1.3654,0.6609,2.7562,0.4996,1.4504,0.1715,0.1234,0.4214,0.737,3.1465,0.7267,1.0506,4.0725,0.455,2.0804,0.0532,1.4889,0.2586,0.4944,0.09,0.0754,0.8835,3.7828,1.4479,0.2691,2.7471,0.4791,2.005,2.3789,2.3041,1.845,0.2586,1.3086,0.0669
"BL.C8",0.4634,0.6334,0.1241,0.6447,0.4841,2.2398,3.0067,0.3701,0.4598,5.9708,1.6513,0.4618,0.1546,0.613,0.3976,0.8919,0.4272,0.6061,0.8014,0.3991,0.2767,0.3126,0.214,6.1956,0.3703,0.7246,0.2356,0.2602,0.3263,0.3484,3.2975,1.35,0.9689,0.286,1.2538,0.2749,3.0135,0.5362,0.2102,0.4697,0.368,0.4854,0.1622,1.2642,1.1849,0.7256,0.5126,4.7851,0.3264,0.3494,0.4667,1.0891,0.8008,0.8418,0.6649,2.6118,1.6769,1.0403,0.5564,0.3706,0.1518,3.7458,1.1977,0.2269,0.7667,0.4871,0.9134,0.6438,0.8463,2.5007,0.265,0.1622,0.6809,1.7454,0.2259,0.3048,1.1346,0.3275,0.5726,0.2976,0.1888,0.4259,0.2837,1.3137,5.2563,2.3355,0.2423,0.3871,0.4694,1.4996,1.0067,0.2867,0.4631,0.3579,0.5878,0.5844,1.9607,0.8251,1.7013,0.7045,2.2569,0.3138,0.1254,0.2245,0.769,1.3678,0.8581,0.9469,2.5397,0.7715,1.9797,0.0643,1.6262,0.198,0.5091,0.0439,0.5204,0.3409,2.5348,1.9277,0.1283,2.3897,0.4366,2.1483,1.7087,2.2237,1.3306,0.1561,1.3896,0.1433
"BL.C1",0.3332,0.4263,0.3215,0.1118,0.3553,0.1314,2.1978,0.5566,0.3137,1.5537,2.9466,0.2641,0.1944,0.1497,0.0701,0.7512,0.9317,0.2267,1.0671,0.2273,0.1537,1.9382,0.475,4.8565,0.0937,1.4842,0.2836,0.3,0.9188,0.2705,0.456,0.1612,0.1189,0.3794,3.3113,0.3132,3.7531,1.1851,1.5308,0.6198,0.0936,1.2227,0.1085,0.6064,0.4641,0.4409,0.9828,2.0031,0.652,0.1049,0.1321,1.7038,0.4448,0.3352,0.9004,0.4204,0.4976,0.9188,0.2576,0.1864,0.2475,3.2043,0.2424,0.5147,1.2683,0.1055,2.6026,0.0838,1.5367,3.2029,0.7133,1.0854,0.3973,0.0865,0.5851,0.3203,1.3436,0.4956,0.3101,0.4183,0.2153,0.5095,0.4398,0.6087,3.2061,2.4199,0.6688,0.3472,0.1064,0.8378,0.3769,0.1198,0.1025,0.3696,0.339,0.695,0.1007,0.1051,1.6112,0.4824,3.2467,0.0671,0.2983,0.0801,2.3669,0.8978,1.1068,0.4688,3.2127,0.5103,0.2545,0.1458,0.8665,0.0811,0.327,0.1997,0.1626,0.5765,3.2213,4.4673,0.334,3.2741,0.4414,1.5248,2.0027,2.8337,1.4104,0.1011,0.7992,0.0967
"BL.C2",0.2631,0.2697,0.6211,0.1278,0.5358,0.1566,3.1644,0.6647,0.8179,0.5221,2.6651,0.4704,0.2224,0.1477,0.1453,0.7697,0.6281,0.5468,1.0888,0.3402,0.1124,0.7394,0.323,5.3438,0.3218,1.7475,0.5027,0.1797,1.7424,0.3418,0.245,0.1186,0.1787,0.2422,3.655,0.7411,2.9869,1.2443,1.4436,0.3598,0.1199,2.1704,0.2875,1.1514,0.752,0.8801,0.7206,2.5325,0.5363,0.1461,0.1576,3.0919,0.5236,0.4852,0.5876,3.5918,0.7024,0.3883,0.1483,0.193,0.1753,5.2648,0.1748,0.6074,2.483,0.1445,3.5359,0.1015,2.6758,1.1501,0.3638,1.4723,0.8003,0.1352,0.5988,0.5081,0.5704,0.2207,0.1769,0.6308,0.0872,0.5996,0.6365,1.0385,3.3458,2.8904,0.2714,0.2095,0.1393,0.9761,0.1899,0.1706,0.1269,0.6798,0.2131,0.745,0.1075,0.1296,3.0305,0.5983,1.4255,0.1576,0.1501,0.1186,2.0486,0.2061,1.2527,0.6226,5.6888,0.5231,0.4569,0.1121,1.2949,0.0703,0.4584,0.1893,0.2994,0.3838,0.7423,1.3899,0.3379,3.5815,0.37,0.9343,2.3671,3.5809,2.2813,0.2187,0.8609,0.3616
"BL.C3",0.3446,0.302,0.6472,0.1291,0.6876,0.1291,1.8859,0.5009,0.3781,1.4827,3.0321,0.226,0.2854,0.138,0.1277,0.8759,0.5803,0.6539,1.2452,0.1918,0.1319,1.3289,0.4734,4.2831,0.1719,1.8583,0.3873,0.1926,1.3392,0.3609,0.6975,0.2383,0.257,0.3115,3.2194,1.0848,3.2689,1.6041,0.922,0.6939,0.1079,1.9668,0.1293,0.8489,0.7051,0.8672,0.8555,2.9421,0.7785,0.1214,0.1683,2.0979,0.5467,0.7813,1.1459,3.8321,0.9234,0.8069,0.2687,0.136,0.2452,3.1293,0.2542,0.6426,2.4291,0.271,2.5082,0.1042,2.0476,2.975,0.4381,0.9562,0.4223,0.1032,0.2016,0.8478,0.7573,0.2831,0.1961,0.3682,0.2209,1.0163,0.3987,0.8002,3.7681,3.5556,0.4806,0.3855,0.1362,1.2539,0.3556,0.1639,0.0967,0.7279,0.2765,0.9319,0.1285,0.1152,2.4085,0.8604,2.4942,0.087,0.1064,0.1875,2.0914,0.9554,1.3662,0.5156,3.329,0.6695,0.9805,0.0895,1.7672,0.1288,1.0297,0.1263,0.0973,0.771,2.701,3.2254,0.2476,3.7493,0.6796,2.2477,1.8026,3.1679,2.327,0.2607,0.9478,0.4264
"BL.C4",0.1907,1.0151,0.5788,0.0938,0.6194,0.1767,2.0967,0.4533,0.8342,2.99,2.5451,0.1281,0.2556,0.2327,0.1544,1.0459,0.6952,0.597,0.6907,0.4266,0.1415,1.0544,0.4351,5.267,0.426,1.2044,0.3047,0.4146,0.6604,0.5508,0.9725,0.7525,0.3171,0.3563,3.0534,0.446,4.0529,0.9706,0.7361,0.4295,0.3748,1.1304,0.2267,0.753,0.8529,1.0185,0.665,2.0568,0.6117,0.0901,0.3179,1.0335,0.2904,0.9222,0.5548,4.3863,0.6304,0.5762,0.4551,0.1824,0.2834,2.0865,0.2224,0.5003,1.4459,0.4048,2.952,0.4838,1.676,2.4973,0.8741,0.815,0.7435,0.1755,1.8671,0.8926,0.9278,0.6368,0.5031,0.6862,0.2487,0.582,0.4607,0.8375,3.9814,2.076,0.2494,0.603,0.1235,1.317,0.5715,0.128,0.0887,0.5411,0.2378,0.7842,0.1933,0.1667,2.1738,1.0449,1.8408,0.1127,0.6881,0.1594,0.6821,0.8831,1.1478,0.9213,2.065,0.8596,2.1002,0.1486,1.6346,0.2338,0.3604,0.647,0.314,0.45,1.9968,3.3181,0.4284,4.8003,0.8575,1.83,3.0425,2.2574,1.2046,0.196,1.2604,0.1738
"NB.C1",0.2204,0.7144,0.5317,0.076,1.0406,0.1274,2.532,0.5224,0.81,1.1639,2.67,0.2079,0.173,0.1617,0.1058,0.7012,0.4131,0.5623,1.4148,0.2714,0.082,0.4772,0.5753,4.1241,0.2432,1.7736,0.2082,0.4141,1.252,0.7372,0.6246,0.2378,0.2209,0.1707,2.1705,0.8669,4.4942,1.2865,1.1313,0.4316,0.094,3.282,0.348,0.7303,1.8123,0.7975,0.9866,2.2964,0.4482,0.0791,0.3772,1.012,0.4302,1.3179,0.5608,3.6285,0.4141,0.4289,0.4557,0.2833,0.1913,3.7024,0.1808,0.2982,2.746,0.4288,3.3554,0.3289,2.2009,2.4767,0.6209,1.4351,2.0749,0.1072,2.6923,0.9666,1.4565,0.3069,0.2422,0.6553,0.2532,0.3558,0.734,1.4242,3.0045,2.5757,0.1162,0.3533,0.0989,0.9445,0.6204,0.0753,1.9415,0.8418,0.272,0.9702,0.1563,0.1029,3.9245,0.8498,0.928,2.1897,2.1092,0.1387,0.6598,0.1003,0.2137,2.6908,0.2348,0.8,0.1817,3.6807,0.4763,0.4854,0.9046,2.7239,0.687,0.3583,0.5856,0.3103,0.237,1.5764,0.923,0.6026,0.3622,0.5063,0.0694,4.0021,0.1603,0.308
"NB.C2",0.2855,0.6397,0.2098,0.1915,0.4313,0.2435,2.2716,0.5765,0.541,2.3426,1.3565,0.389,0.2349,0.2526,0.2238,0.628,0.4259,0.5124,0.7951,0.4013,0.1679,0.8776,0.4125,4.3347,0.1597,0.9671,0.4066,0.2408,1.5678,0.4197,0.8259,0.4833,0.2281,0.3389,1.6891,0.5575,2.5663,0.9814,0.3598,0.1971,0.3357,0.7691,0.1727,0.7904,0.3817,0.6984,0.5542,1.1131,0.8364,0.1451,0.3771,1.6659,0.5353,0.4953,1.0054,3.4679,0.7136,0.5235,0.4546,0.2237,0.3003,2.2534,0.2307,0.8728,1.8055,0.5691,0.6348,0.2487,1.5749,1.7693,1.0633,0.6255,0.8606,0.4671,0.767,0.3454,1.3236,0.4321,0.3847,1.4525,0.1964,0.2929,0.4415,0.6977,2.2102,2.5311,0.6504,0.4631,0.1788,2.0758,0.3221,0.1467,0.1391,1.2146,0.2102,1.0122,0.2331,0.1895,1.7947,0.7289,1.6278,1.9936,3.6072,0.1865,0.4581,0.2671,0.3411,1.9619,0.4507,1.5722,0.1633,4.0427,0.7882,0.4425,1.1562,1.4694,3.5148,0.5922,0.3016,0.3646,0.3676,0.5961,1.2198,0.6479,0.8984,0.293,0.1358,3.0807,0.2011,0.3533
"NB.C3",0.2856,0.5728,0.3818,0.2147,0.2601,0.223,2.2314,0.5871,0.5432,1.9347,1.6326,0.3385,0.3782,0.3193,0.2466,0.4595,0.5406,0.4327,0.6837,0.376,0.1996,1.8943,0.3462,8.1078,0.1997,1.1464,0.3892,0.1982,1.1568,0.3916,0.9164,0.36,0.2186,0.4878,1.7837,0.7046,2.0821,0.792,0.2662,0.2289,0.2401,0.6431,0.2028,1.0937,0.4465,0.7199,0.6238,0.7467,0.5148,0.2206,0.3604,1.1544,0.62,0.673,0.5652,5.4844,0.7448,0.6763,0.3593,0.3062,0.3223,3.5577,0.2824,0.4518,1.8244,0.5008,0.454,0.3471,2.0466,1.8551,0.8061,0.571,0.6602,0.311,0.5911,0.3492,1.0005,0.2154,0.4607,0.6633,0.2538,0.4249,0.5106,0.4583,4.5542,1.5909,0.2164,0.3265,0.1975,1.8178,0.3971,0.1788,0.1922,0.2818,0.3397,0.6627,0.303,0.24,1.658,0.9772,1.1939,1.4275,3.3323,0.2337,0.3253,0.247,0.3995,2.4035,0.2947,1.6455,0.1776,3.8052,0.3658,0.4928,0.5888,3.0805,1.1285,0.4015,0.3964,0.4195,0.2025,0.2425,1.6221,0.691,0.7397,0.3882,0.145,3.806,0.2589,0.4402
"NB.C6",0.2651,0.2553,0.6165,0.756,0.5363,2.1813,1.2124,0.7539,0.2794,3.6571,3.3707,0.9312,0.1347,0.2979,0.2703,0.6873,1.0245,0.7698,0.6354,0.5038,0.2039,1.0409,0.3953,5.307,0.6715,0.9989,0.4888,0.3184,0.6347,0.1916,1.4367,1.525,0.6979,0.5472,3.9047,0.5461,3.3881,1.1833,0.9095,0.5772,0.1734,1.1014,0.1504,0.5532,1.0138,0.4524,0.9167,3.5976,0.3344,0.3511,0.2687,1.0977,0.4102,0.3269,0.7697,1.8221,0.9828,1.3167,0.1764,0.2367,0.1821,3.969,0.4969,0.2183,1.0691,0.2152,1.8302,0.2882,1.4974,1.9021,0.2711,0.4621,1.3452,0.7423,0.2329,0.3995,0.4255,0.5444,0.655,0.3127,0.2173,0.7525,0.2884,0.8496,3.9286,2.2881,0.2123,0.3234,0.6037,0.8754,1.1555,1.2479,0.3221,0.5668,0.231,0.4649,0.565,0.2915,1.293,0.7615,0.5372,0.5825,2.7972,0.1602,0.37,0.2252,0.2122,2.1932,2.1015,1.2146,0.094,3.0251,0.2073,0.5287,0.6343,1.2749,2.0273,0.3441,0.961,0.131,1.1463,1.0436,0.6292,0.0994,0.2091,0.7112,0.0726,2.2816,0.0713,0.3059
"NB.C12",0.417,0.2832,0.166,0.4233,0.4522,1.4392,2.9783,0.4074,0.5382,4.2928,2.0056,0.7022,0.171,0.3817,0.2243,1.1283,0.4322,0.5351,0.6731,0.2433,0.1204,0.4784,0.307,4.6663,0.3597,1.4318,0.3463,0.3577,0.7138,0.223,1.9063,0.8774,0.6735,0.6414,1.763,0.7491,3.2376,1.0586,0.7286,0.9712,0.3332,1.6949,0.1123,1.3319,1.4692,0.6432,0.5156,4.244,0.842,0.4944,0.3827,1.7959,0.8113,0.277,0.8605,2.2267,1.0273,0.4996,0.2079,0.3367,0.0737,3.5294,0.7779,0.3337,1.0436,0.2388,3.7728,0.2736,1.4791,2.0062,0.2535,0.1121,1.0327,1.3416,0.4102,0.6513,0.8602,0.5014,0.3708,0.4134,0.3591,0.3447,0.1748,1.4416,3.4452,2.2325,0.3854,0.3343,0.4802,0.4475,0.8702,0.5096,0.3537,0.7668,0.1487,0.5269,0.8641,0.3022,1.523,0.9607,0.2791,0.8972,2.796,0.3207,0.4088,0.148,0.3713,2.7601,0.3278,0.8785,0.0533,1.804,0.2821,0.6199,0.3233,1.3409,2.8448,0.471,0.5915,0.0967,0.3496,0.4928,1.0418,0.0597,0.2742,0.6479,0.1076,5.9451,0.0974,0.2557
"NB.C7",0.5879,0.252,0.0771,0.3333,0.5737,1.6175,0.999,0.5655,0.3485,2.7709,2.2967,0.4894,0.2758,0.3291,0.2523,0.7697,0.8095,0.528,0.6545,0.236,0.1459,1.0969,0.5855,4.4612,0.1805,0.7939,0.8534,0.2228,0.5642,0.2565,2.142,1.0962,0.4253,0.4309,3.8294,0.6286,1.9089,1.139,1.4396,0.405,0.2188,0.955,0.2705,0.7932,0.7318,0.5758,0.8076,2.863,0.5884,0.2841,0.3399,1.2085,0.5167,0.2059,0.6863,1.8485,0.4269,0.6242,0.1715,0.2451,0.1548,1.8756,0.6018,0.4631,1.0085,0.2701,2.7848,0.3558,1.3702,1.15,0.1549,1.0287,0.683,1.0063,0.2159,0.3179,0.6848,0.3438,0.2385,0.4214,0.1702,0.2947,0.2716,0.8637,4.0213,2.9614,0.4017,0.4216,0.3218,0.9085,0.6978,0.6538,0.2911,1.4772,0.2745,0.5696,0.7333,0.3589,1.1106,0.8828,0.6847,1.2843,3.4512,0.1644,0.492,0.1926,0.3805,2.4225,0.7945,1.687,0.0653,2.2156,0.3223,0.4401,0.8736,1.4177,2.3774,0.599,0.3052,0.1702,1.2103,0.7406,1.782,0.1401,0.5188,0.2296,0.2094,1.8712,0.1823,0.4325
"NB.C4",0.3651,0.5452,0.8555,0.1384,0.6063,2.0982,1.8248,0.615,0.4374,2.6033,3.5834,0.6641,0.3613,0.1452,0.212,0.9437,0.8439,0.4634,0.5721,0.3507,0.2156,0.8211,0.6322,4.018,0.4649,2.1079,0.492,0.3882,0.9423,0.2924,1.0033,1.7994,0.7342,0.9148,3.1034,0.7415,3.3047,0.7094,1.3023,0.4086,0.217,2.4839,0.2147,0.876,1.2567,1.0186,1.9528,4.2074,0.6295,0.5364,0.446,1.0929,0.3012,0.6428,0.3755,3.5989,0.3578,0.7448,0.4138,0.3195,0.3126,4.5235,0.6987,0.3148,0.8119,0.5985,4.0548,0.3395,2.1505,2.5027,0.4295,1.0916,2.3582,1.0147,0.8534,0.6352,0.6965,0.6957,0.3766,0.3576,0.2943,0.5419,0.3396,0.9644,1.7193,1.2643,0.1053,0.4939,0.4322,1.1814,0.734,0.3047,0.307,0.8017,0.4401,1.0386,1.3007,0.2416,1.8968,0.6257,0.5596,1.8081,3.4915,0.2028,0.2743,0.1166,0.1328,3.2052,0.606,1.1722,0.1311,3.3811,0.3017,0.7286,0.5759,1.1996,2.2254,0.307,0.8268,0.2355,0.4841,2.3049,0.9902,0.2319,0.3502,0.4365,0.1029,3.4142,0.3159,0.318
"NB.C5",0.3047,1.3655,0.4495,0.497,0.5034,1.8969,4.2162,0.882,0.319,4.2847,1.4818,0.5657,0.327,0.3944,0.2989,0.7411,1.051,1.1734,0.5055,0.5761,0.2381,0.4707,0.3119,4.355,0.8255,1.2913,0.2852,0.5,0.7756,0.2441,2.5884,2.4711,0.9039,0.3819,2.5488,0.7952,3.1113,0.1787,0.7872,0.6177,0.6368,1.4659,0.1441,2.2961,1.9259,1.0599,0.9208,4.0823,1.0812,0.6056,0.7547,1.0114,0.4712,0.4401,0.219,4.0663,1.0514,0.4749,0.5642,0.5771,0.1166,5.3549,0.6737,0.1279,1.0386,0.6979,1.6951,0.4436,3.1214,3.0145,0.4401,0.2631,0.8619,1.6618,1.1098,0.639,1.6932,0.5516,0.4633,0.6367,0.3048,0.4686,0.4225,1.6775,3.6766,2.1554,0.0804,0.1946,1.3393,0.4799,0.7094,1.1423,0.2884,0.2587,0.4428,0.3676,1.5402,0.263,2.8639,0.7519,0.8636,2.1259,3.5795,0.4008,0.6544,0.2539,0.3723,2.8858,0.4703,1.2784,0.153,2.482,0.55,0.7545,0.3089,0.8995,2.4531,0.3662,0.8433,0.1161,0.2455,0.5427,0.5771,0.2026,0.5389,0.2847,0.1089,3.507,0.1511,0.3297
"NB.C10",0.6228,0.4689,0.4159,0.2422,0.5682,1.4839,2.5656,0.5387,2.1795,3.3513,2.3627,0.6681,0.3944,0.3059,0.2516,1.5503,0.4241,0.4153,0.9284,0.3843,0.1884,0.3604,1.2695,4.3171,0.4046,2.2268,0.7006,0.3747,0.7942,0.5231,1.5274,0.5765,0.888,0.5951,1.4048,1.1312,1.3918,0.4434,0.4934,0.5316,0.2307,2.7959,0.0541,1.8937,0.8062,0.5425,0.9374,3.3086,0.4921,0.3454,0.3311,2.8892,0.8472,0.5776,0.8677,1.532,0.962,1.3366,0.2596,0.3641,0.2115,2.9437,0.8486,0.4466,0.8526,0.2386,2.8397,0.3333,1.2513,1.9239,0.3351,0.2049,0.9079,1.2929,0.2742,0.9826,2.0843,0.4931,1.1499,0.377,0.1908,0.4585,0.7982,0.7166,1.186,1.7293,0.1884,0.3425,0.3239,0.8847,0.6664,0.189,0.4424,0.5743,0.5353,0.9301,1.0146,0.1143,1.9394,1.24,0.3104,1.0409,2.1826,0.333,0.497,0.2993,0.3636,1.7515,0.2437,1.0406,0.0776,2.628,0.4724,0.8194,0.4775,1.2546,1.4275,0.4388,1.3025,0.2577,0.3529,0.5725,0.3556,0.0789,0.3796,0.6077,0.0899,3.0138,0.2412,0.4416
"NB.C11",0.4953,0.5031,0.6043,0.4387,0.2647,1.9813,3.1917,0.452,0.3829,3.5425,2.8578,0.4723,0.1791,0.379,0.2093,0.6053,1.0172,0.5212,0.535,0.4539,0.094,1.1953,0.3823,6.2662,0.2853,1.1862,0.3498,0.273,0.4333,0.3916,1.2863,0.8927,1.1084,0.2805,3.1409,0.639,2.9584,0.9849,0.9461,0.5349,0.0269,1.6009,0.012,1.2583,1.0376,0.6387,1.3841,3.6912,0.212,0.3529,0.1691,0.8662,0.5149,0.6898,0.4975,3.1067,1.044,0.4763,0.1426,0.2078,0.2477,4.6723,0.7929,0.1136,1.0954,0.1862,2.7915,0.2771,0.7936,2.2157,0.1592,0.2218,0.7245,1.3305,0.2313,0.4738,1.0957,0.2159,0.4807,0.1878,0.1143,0.6038,0.1692,1.1071,3.3112,1.1715,0.0878,0.3977,0.3107,1.0714,0.7777,0.3332,0.3594,0.5766,0.3491,0.5228,1.0632,0.3444,1.5659,0.6331,0.4338,0.5544,2.737,0.1103,0.361,0.1328,0.3631,3.4362,0.3847,0.9779,0.0369,1.5448,0.3148,0.4523,0.5062,1.2589,2.9356,0.2471,1.2242,0.18,0.9878,0.9882,0.9176,0.1286,0.2357,0.2255,0.0333,2.3583,0.0364,0.4786
